2016-01-01,-1000,Landlord,Rent
2016-01-01,-483.0,Payable,Supplies 
2016-01-01,-216.3,Payable,Gas 
2016-01-01,91.84142832780304,Customer,Purchase 
2016-01-01,88.32015651964262,Customer,Purchase 
2016-01-01,126.69321225007464,Customer,Purchase 
2016-01-01,13.712889100593944,Customer,Purchase 
2016-01-01,178.70084352767967,Customer,Purchase 
2016-01-01,30.911419569522344,Customer,Purchase 
2016-01-01,105.24652828865094,Customer,Purchase 
2016-01-01,56.84701442337414,Customer,Purchase 
2016-01-01,12.283207395290365,Customer,Purchase 
2016-01-01,79.03130850118605,Customer,Purchase 
2016-01-01,87.63128510925377,Customer,Purchase 
2016-01-01,21.29374965133229,Customer,Purchase 
2016-01-01,176.67440429672197,Customer,Purchase 
2016-01-01,46.67555708004576,Customer,Purchase 
2016-01-01,98.1498860719583,Customer,Purchase 
2016-01-01,29.17237670578966,Customer,Purchase 
2016-01-01,19.842890932664524,Customer,Purchase 
2016-01-01,188.3311828631362,Customer,Purchase 
2016-01-01,143.70117403586394,Customer,Purchase 
2016-01-01,30.098843038632467,Customer,Purchase 
2016-01-01,104.4833918319023,Customer,Purchase 
2016-01-01,84.13307760374512,Customer,Purchase 
2016-01-01,43.26975473294598,Customer,Purchase 
2016-01-01,198.55772324122617,Customer,Purchase 
2016-01-01,84.514574907205,Customer,Purchase 
2016-01-01,136.91309597388073,Customer,Purchase 
2016-01-01,25.47737219959747,Customer,Purchase 
2016-01-01,158.57488063602148,Customer,Purchase 
2016-01-01,86.22802419421747,Customer,Purchase 
2016-01-02,-502.2,Payable,Supplies 
2016-01-02,-162.75,Payable,Gas 
2016-01-02,64.15014628720564,Customer,Purchase 
2016-01-02,9.939807654372569,Customer,Purchase 
2016-01-02,72.23134975974526,Customer,Purchase 
2016-01-02,124.28978575671157,Customer,Purchase 
2016-01-02,12.121992177282252,Customer,Purchase 
2016-01-02,178.3459634211406,Customer,Purchase 
2016-01-02,161.535499943908,Customer,Purchase 
2016-01-02,140.42597663992004,Customer,Purchase 
2016-01-02,49.30675520810043,Customer,Purchase 
2016-01-02,188.55491054048954,Customer,Purchase 
2016-01-02,29.10362184254747,Customer,Purchase 
2016-01-02,81.08198528942549,Customer,Purchase 
2016-01-02,197.71369388580163,Customer,Purchase 
2016-01-02,162.50123315410562,Customer,Purchase 
2016-01-02,42.32329853689866,Customer,Purchase 
2016-01-02,9.99339813283417,Customer,Purchase 
2016-01-02,144.6011323515936,Customer,Purchase 
2016-01-02,152.89219836491245,Customer,Purchase 
2016-01-02,178.87167294441122,Customer,Purchase 
2016-01-02,155.14369957799866,Customer,Purchase 
2016-01-03,-396.0,Payable,Supplies 
2016-01-03,-235.2,Payable,Gas 
2016-01-03,167.75197750745028,Customer,Purchase 
2016-01-03,159.91646192281468,Customer,Purchase 
2016-01-03,99.66036890145728,Customer,Purchase 
2016-01-03,68.83419849175414,Customer,Purchase 
2016-01-03,166.66165846091099,Customer,Purchase 
2016-01-03,50.04888646152426,Customer,Purchase 
2016-01-03,54.473661588296025,Customer,Purchase 
2016-01-03,168.80346018048323,Customer,Purchase 
2016-01-03,132.58446484882262,Customer,Purchase 
2016-01-03,14.633710687094734,Customer,Purchase 
2016-01-03,95.62079621657362,Customer,Purchase 
2016-01-03,161.14746319265544,Customer,Purchase 
2016-01-03,183.99196938060427,Customer,Purchase 
2016-01-03,121.34880000441018,Customer,Purchase 
2016-01-03,81.01914005352262,Customer,Purchase 
2016-01-03,79.37640079051873,Customer,Purchase 
2016-01-03,110.5768403955609,Customer,Purchase 
2016-01-03,135.3789787290914,Customer,Purchase 
2016-01-03,30.49889766738424,Customer,Purchase 
2016-01-03,138.72695937404896,Customer,Purchase 
2016-01-03,183.87687224403726,Customer,Purchase 
2016-01-03,132.80466202769864,Customer,Purchase 
2016-01-03,67.69690352192568,Customer,Purchase 
2016-01-03,107.90238007688365,Customer,Purchase 
2016-01-03,10.52449412971415,Customer,Purchase 
2016-01-03,65.70512780010924,Customer,Purchase 
2016-01-03,187.040233656022,Customer,Purchase 
2016-01-03,13.313172532025279,Customer,Purchase 
2016-01-03,22.640439415694317,Customer,Purchase 
2016-01-03,47.91587443957569,Customer,Purchase 
2016-01-03,15.920430419374444,Customer,Purchase 
2016-01-03,11.204703021145681,Customer,Purchase 
2016-01-03,120.81976520186151,Customer,Purchase 
2016-01-03,97.00911569483843,Customer,Purchase 
2016-01-03,84.46581404686185,Customer,Purchase 
2016-01-03,166.70301855573004,Customer,Purchase 
2016-01-03,195.08026722012912,Customer,Purchase 
2016-01-04,-99.0,Payable,Supplies 
2016-01-04,-15.15,Payable,Gas 
2016-01-04,128.4391076466016,Customer,Purchase 
2016-01-04,194.6145363140447,Customer,Purchase 
2016-01-04,66.23644262583791,Customer,Purchase 
2016-01-04,105.31779243701723,Customer,Purchase 
2016-01-04,25.44369139189121,Customer,Purchase 
2016-01-04,189.85670716604199,Customer,Purchase 
2016-01-04,25.883710134185733,Customer,Purchase 
2016-01-04,101.83929665795367,Customer,Purchase 
2016-01-04,37.80576521909533,Customer,Purchase 
2016-01-04,143.208629264695,Customer,Purchase 
2016-01-05,-408.9,Payable,Supplies 
2016-01-05,-230.4,Payable,Gas 
2016-01-05,191.8967194791532,Customer,Purchase 
2016-01-05,168.63821701032742,Customer,Purchase 
2016-01-05,24.00357062830065,Customer,Purchase 
2016-01-05,66.40632842110067,Customer,Purchase 
2016-01-05,89.3926308391581,Customer,Purchase 
2016-01-05,145.16127981595048,Customer,Purchase 
2016-01-05,32.47419585722918,Customer,Purchase 
2016-01-05,6.63907040317992,Customer,Purchase 
2016-01-05,63.800181397856385,Customer,Purchase 
2016-01-06,-529.2,Payable,Supplies 
2016-01-06,-107.1,Payable,Gas 
2016-01-06,49.30924446475784,Customer,Purchase 
2016-01-06,127.18346496319496,Customer,Purchase 
2016-01-06,88.89846365407936,Customer,Purchase 
2016-01-06,179.0634860653744,Customer,Purchase 
2016-01-06,178.33764322182427,Customer,Purchase 
2016-01-06,103.20889780008598,Customer,Purchase 
2016-01-06,70.43149701903458,Customer,Purchase 
2016-01-06,30.948804623526456,Customer,Purchase 
2016-01-06,159.8334993624264,Customer,Purchase 
2016-01-06,35.47258949053411,Customer,Purchase 
2016-01-06,94.0583195542035,Customer,Purchase 
2016-01-06,86.75750097313193,Customer,Purchase 
2016-01-06,62.78491699948769,Customer,Purchase 
2016-01-06,162.10616624136367,Customer,Purchase 
2016-01-06,155.8990672521203,Customer,Purchase 
2016-01-06,175.5200786262251,Customer,Purchase 
2016-01-06,33.58427317739026,Customer,Purchase 
2016-01-06,179.63713143073184,Customer,Purchase 
2016-01-06,138.13595090394026,Customer,Purchase 
2016-01-06,99.79589110164422,Customer,Purchase 
2016-01-06,43.322097497991514,Customer,Purchase 
2016-01-06,156.26375743914852,Customer,Purchase 
2016-01-06,99.96566972079354,Customer,Purchase 
2016-01-06,156.0423411311591,Customer,Purchase 
2016-01-06,136.7528861361398,Customer,Purchase 
2016-01-06,35.97868791154256,Customer,Purchase 
2016-01-07,-42.3,Payable,Supplies 
2016-01-07,-71.4,Payable,Gas 
2016-01-07,15.4545863914489,Customer,Purchase 
2016-01-07,5.255443518264419,Customer,Purchase 
